"Microrregiao","Y_Media","Y_SD","X1_Media","X2_Media","X3_Media"
"NANUQUE",10,5.21361853052352,0.360547437980253,0.944952063824175,0.0778359666777122
"AGUAS_FORMOSAS",9.73913043478261,3.97969152875341,0.484623420458754,0.965614549718586,0.0724031783321976
"RESPLENDOR",9.39130434782609,3.93976384196246,0.401487033841195,0.986873173679262,0.0714436062269301
"SAO_JOAO_NEPOMUCENO_BICAS",9.30434782608696,4.67522272302416,0.253377586111134,0.969154784206608,0.0894618982186716
"FORMIGA",8.82608695652174,3.88062991504593,0.226018281617988,0.990023043040558,0.0950087950081066
"PADRE_PARAISO",8.60869565217391,4.41834121933048,0.554642910218511,0.946525350648453,0.0820563703752132
"FRANCISCO_SA",8.34782608695652,4.82991337821981,0.425071066986088,0.968765714182205,0.0831865329558929
"MANTENA",8.34782608695652,4.60837868997304,0.364623929864823,0.986615360582014,0.0674031509472406
"ALEM_PARAIBA",7.21739130434783,3.32970817366014,0.41702259361317,0.991021821906732,0.0784644667480282
"SANTOS_DUMONT",7.04347826086957,3.74746290987243,0.30689198852759,0.980085322125728,0.107007960573317
"ITAOBIM",7,5.44392906239268,0.477563751562012,0.98432036273302,0.0801666644997487
"CORACAO_DE_JESUS",4.60869565217391,2.42597928558163,0.48792259967985,0.937296221818203,0.0857100303357296
"PEDRA_AZUL",4.30434782608696,3.22539331792821,0.418567775140073,0.959230625341728,0.0888063626286843
